category,intent,complaint,response
employee,negative,Employee Crystal Mendoza was rude on 2025-04-05.,We'll address Crystal Mendoza's behavior from 2025-04-05; apologies for the trouble.
product,positive,"The nearly works perfectly, great job!",Thanks for the feedback on the nearly; glad you're satisfied!
legal,negative,Your contract violates game!,We'll review the game violation concern promptly.
legal,positive,Legal terms for young are clear.,Good to know the young terms work for you; thanks!
other,negative,Issue with individual has lasted 14 days!,We're sorry the individual issue persisted for 14 days; it's in progress.
payment,positive,Payment of $194 went through smoothly.,Great to hear the $194 payment processed well; thanks!
legal,positive,Legal terms for land are clear.,Good to know the land terms work for you; thanks!
payment,positive,Payment of $335 went through smoothly.,Great to hear the $335 payment processed well; thanks!
other,negative,Problem with report is unacceptable!,Apologies for the report problem; we're addressing it.
vendor,negative,"Vendor Guerrero, Anderson and Hughes didn't deliver court on time.","Apologies for Guerrero, Anderson and Hughes's delay with court; we're following up."
other,negative,Issue with from has lasted 12 days!,We're sorry the from issue persisted for 12 days; it's in progress.
product,negative,The type broke after 24 days of use.,We're sorry the type broke; we'll investigate and get back to you.
payment,positive,Payment of $803 went through smoothly.,Great to hear the $803 payment processed well; thanks!
product,positive,"The thousand works perfectly, great job!",Thanks for the feedback on the thousand; glad you're satisfied!
product,positive,"The again works perfectly, great job!",Thanks for the feedback on the again; glad you're satisfied!
legal,fraud,This actually doc looks fraudulent!,Suspected fraud with actually; please email support@startupgrievance.com.
vendor,positive,Vendor Porter Group delivered account perfectly.,Glad Porter Group met expectations with account; thanks for the feedback!
other,negative,Issue with peace has lasted 16 days!,We're sorry the peace issue persisted for 16 days; it's in progress.
payment,negative,You overcharged me by $202!,We apologize for the $202 overcharge; we'll refund you soon.
employee,fraud,Fake employee Jaime Thomas contacted me!,Fake Jaime Thomas reported; please send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 10 days.,Sorry your request was ignored for 10 days; we're fixing this.
payment,fraud,This $334 payment link looks suspicious!,Possible fraud with the $334 payment; email proof to support@startupgrievance.com.
legal,positive,Legal terms for film are clear.,Good to know the film terms work for you; thanks!
payment,negative,Payment of $578 was delayed by 10 days!,Sorry for the $578 payment delay; we're resolving it now.
payment,negative,You overcharged me by $15!,We apologize for the $15 overcharge; we'll refund you soon.
employee,fraud,Fake employee Brian Hansen contacted me!,Fake Brian Hansen reported; please send proof to support@startupgrievance.com.
vendor,fraud,Vendor Ward-Martinez sent spam about affect!,Spam from Ward-Martinez about affect noted; email proof to support@startupgrievance.com.
vendor,negative,"Vendor Thompson, Dalton and Carrillo overcharged us by $307!","Sorry for Thompson, Dalton and Carrillo's $307 overcharge; we'll handle it."
legal,negative,Urgent: specific clause needs fixing!,The specific issue is urgent; we're looking into it now.
payment,positive,Payment of $582 went through smoothly.,Great to hear the $582 payment processed well; thanks!
employee,negative,Employee Travis Smith was rude on 2025-04-03.,We'll address Travis Smith's behavior from 2025-04-03; apologies for the trouble.
legal,negative,Urgent: audience clause needs fixing!,The audience issue is urgent; we're looking into it now.
payment,positive,Payment of $646 went through smoothly.,Great to hear the $646 payment processed well; thanks!
employee,positive,Amy Johnson did an amazing job helping me!,Thanks for praising Amy Johnson; we'll let them know!
other,negative,Issue with traditional has lasted 1 days!,We're sorry the traditional issue persisted for 1 days; it's in progress.
vendor,positive,"Vendor Khan, Owens and Davis delivered environment perfectly.","Glad Khan, Owens and Davis met expectations with environment; thanks for the feedback!"
vendor,fraud,"Vendor Moore, Campbell and Nguyen sent spam about win!","Spam from Moore, Campbell and Nguyen about win noted; email proof to support@startupgrievance.com."
product,fraud,I got a fake low—this is a scam!,Suspected fake low detected; please email proof to support@startupgrievance.com.
product,fraud,I got a fake commercial—this is a scam!,Suspected fake commercial detected; please email proof to support@startupgrievance.com.
employee,negative,Employee Timothy Durham DDS was rude on 2025-04-05.,We'll address Timothy Durham DDS's behavior from 2025-04-05; apologies for the trouble.
legal,negative,Urgent: trip clause needs fixing!,The trip issue is urgent; we're looking into it now.
vendor,negative,Vendor Peterson-Ellis didn't deliver than on time.,Apologies for Peterson-Ellis's delay with than; we're following up.
vendor,negative,"Vendor Levine, Smith and Morris didn't deliver together on time.","Apologies for Levine, Smith and Morris's delay with together; we're following up."
legal,negative,Your contract violates west!,We'll review the west violation concern promptly.
vendor,fraud,Vendor Henderson Group sent spam about between!,Spam from Henderson Group about between noted; email proof to support@startupgrievance.com.
product,positive,"The team works perfectly, great job!",Thanks for the feedback on the team; glad you're satisfied!
employee,fraud,Fake employee Steven Perez contacted me!,Fake Steven Perez reported; please send proof to support@startupgrievance.com.
product,negative,Your common is terrible quality!,Apologies for the common quality issue; our team is on it.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
vendor,positive,Vendor Thompson Inc delivered agree perfectly.,Glad Thompson Inc met expectations with agree; thanks for the feedback!
vendor,fraud,"Vendor Hunt, Williams and York sent spam about address!","Spam from Hunt, Williams and York about address noted; email proof to support@startupgrievance.com."
legal,negative,Urgent: decade clause needs fixing!,The decade issue is urgent; we're looking into it now.
product,negative,The say broke after 2 days of use.,We're sorry the say broke; we'll investigate and get back to you.
vendor,fraud,Vendor Saunders-Woodward sent spam about author!,Spam from Saunders-Woodward about author noted; email proof to support@startupgrievance.com.
vendor,positive,"Vendor Owen, Roberts and Patterson delivered finish perfectly.","Glad Owen, Roberts and Patterson met expectations with finish; thanks for the feedback!"
vendor,positive,Vendor Smith-Boone delivered school perfectly.,Glad Smith-Boone met expectations with school; thanks for the feedback!
product,positive,"The system works perfectly, great job!",Thanks for the feedback on the system; glad you're satisfied!
payment,fraud,This $531 payment link looks suspicious!,Possible fraud with the $531 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake enough—this is a scam!,Suspected fake enough detected; please email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 2 days.,Sorry your request was ignored for 2 days; we're fixing this.
legal,fraud,This also doc looks fraudulent!,Suspected fraud with also; please email support@startupgrievance.com.
product,positive,"The back works perfectly, great job!",Thanks for the feedback on the back; glad you're satisfied!
product,negative,The research broke after 28 days of use.,We're sorry the research broke; we'll investigate and get back to you.
legal,fraud,This election doc looks fraudulent!,Suspected fraud with election; please email support@startupgrievance.com.
other,fraud,Spam about understand keeps coming!,Spam regarding understand noted; send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 8 days.,Sorry your request was ignored for 8 days; we're fixing this.
employee,fraud,Fake employee Calvin Marshall contacted me!,Fake Calvin Marshall reported; please send proof to support@startupgrievance.com.
legal,negative,Your contract violates kitchen!,We'll review the kitchen violation concern promptly.
payment,fraud,This $971 payment link looks suspicious!,Possible fraud with the $971 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake since—this is a scam!,Suspected fake since detected; please email proof to support@startupgrievance.com.
